Record_ID,Employee_ID,Month,Department,Compliance_Area,Requirement,Legal_Reference,Actual,Status,Risk_Level,Owner,Action_Due_Date,Closure_Status,Source_URL
COMP-EMP0001-01,EMP0001,2026-06-01,Quality Assurance,Appointment Letter,Appointment letter issued and retained,Bangladesh Labour Act s.5 / Rules,Yes,Compliant,Low,HR & Compliance,,Closed,https://bdlaws.minlaw.gov.bd/act-print-952.html
COMP-EMP0001-02,EMP0001,2026-06-01,Quality Assurance,Photo ID Card,Photo identity card issued,Bangladesh Labour Act s.5,Yes,Compliant,Low,HR & Compliance,,Closed,https://bdlaws.minlaw.gov.bd/act-print-952.html
COMP-EMP0001-03,EMP0001,2026-06-01,Quality Assurance,Wage Payment Deadline,Wages paid within seven working days after wage period,Bangladesh Labour Act s.123,Yes,Compliant,Low,HR & Compliance,,Closed,https://bdlaws.minlaw.gov.bd/act-print-952.html
COMP-EMP0001-04,EMP0001,2026-06-01,Quality Assurance,Configured Wage Floor,Pay meets current sector/grade wage gazette configured by the user,Bangladesh Labour Act ss.138-140,Yes,Compliant,Low,HR & Compliance,,Closed,https://bdlaws.minlaw.gov.bd/act-print-952.html
COMP-EMP0001-05,EMP0001,2026-06-01,Quality Assurance,Overtime Rate,Overtime is paid at the legally required double-rate basis,Bangladesh Labour Act s.108,Yes,Compliant,Low,HR & Compliance,,Closed,https://bdlaws.minlaw.gov.bd/act-print-952.html
COMP-EMP0001-06,EMP0001,2026-06-01,Quality Assurance,Working Hours,"Daily/weekly limits, rest break and weekly holiday controls",Bangladesh Labour Act ss.100-103,No,Non-Compliant,High,HR & Compliance,2026-07-31,Open,https://bdlaws.minlaw.gov.bd/act-print-952.html
COMP-EMP0001-07,EMP0001,2026-06-01,Quality Assurance,Leave Records,"Casual, sick, earned and festival leave records maintained",Bangladesh Labour Act ss.115-118,Compliant,Compliant,Low,HR & Compliance,,Closed,https://bdlaws.minlaw.gov.bd/act-print-952.html
COMP-EMP0001-08,EMP0001,2026-06-01,Quality Assurance,Payroll TDS Evidence,Salary withholding reviewed and evidence retained,Income Tax Act 2023 / WHT Rules 2026,Available,Compliant,Low,HR & Compliance,,Closed,https://nbr.gov.bd/regulations/rules/income-tax-rules/eng
COMP-EMP0001-09,EMP0001,2026-06-01,Quality Assurance,Benefit Enrollment,Eligible employee benefits are recorded and administered,Labour Act/Rules and company policy,Exception,Non-Compliant,Medium,HR & Compliance,2026-07-31,Open,https://bdlaws.minlaw.gov.bd/act-print-952.html
COMP-EMP0002-01,EMP0002,2026-06-01,Maintenance,Appointment Letter,Appointment letter issued and retained,Bangladesh Labour Act s.5 / Rules,Yes,Compliant,Low,HR & Compliance,,Closed,https://bdlaws.minlaw.gov.bd/act-print-952.html
